ID. Participant ID,,Clip,Start,End,,Rate or restate,E3,E4,e5
TRAINING1[1_A]. the page. [Pencil woman the the put table the on.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,TRAINING1,28,66,Pencil woman the the put table the on.,Rate,A,A,A
"TRAINING1[1_ALT]. the page. [Pencil woman the the put table the on.][Is there a way you could make this description better, maybe by changing a word?]",,TRAINING1,30,68,Pencil woman the the put table the on.,Restate, , , 
TRAINING1[2_A]. the page. [The woman snapped the pencil in half.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,TRAINING1,28,65,The woman snapped the pencil in half.,Rate,B,B,B
"TRAINING1[2_ALT]. the page. [The woman snapped the pencil in half.][Is there a way you could make this description better, maybe by changing a word?]",,TRAINING1,30,67,The woman snapped the pencil in half.,Restate, , ,  
TRAINING1[3_A]. the page. [The woman sat at the table with a pencil.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,TRAINING1,28,69,The woman sat at the table with a pencil.,Rate, C,C,C
"TRAINING1[3_ALT]. the page. [The woman sat at the table with a pencil.][Is there a way you could make this description better, maybe by changing a word?]",,TRAINING1,30,71,The woman sat at the table with a pencil.,Restate, , , 
TRAINING1[4_A]. the page. [The woman put the pencil in the cup.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,TRAINING1,28,64,The woman put the pencil in the cup.,Rate,D,D,D
"TRAINING1[4_ALT]. the page. [The woman put the pencil in the cup.][Is there a way you could make this description better, maybe by changing a word?]",,TRAINING1,30,66,The woman put the pencil in the cup.,Restate, , , 
TRAINING1[5_A]. the page. [The pencil was put in the cup.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,TRAINING1,28,58,The pencil was put in the cup.,Rate,D,D,D
"TRAINING1[5_ALT]. the page. [The pencil was put in the cup.][Is there a way you could make this description better, maybe by changing a word?]",,TRAINING1,30,60,The pencil was put in the cup.,Restate, , , 
TRAINING1[6_A]. the page. [The pencil ended up in the cup.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,TRAINING1,28,59,The pencil ended up in the cup.,Rate,C,C,C
"TRAINING1[6_ALT]. the page. [The pencil ended up in the cup.][Is there a way you could make this description better, maybe by changing a word?]",,TRAINING1,30,61,The pencil ended up in the cup.,Restate, , , 
TRAINING2[1_ABCD]. the page. [The woman put the pencil in the cup.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,TRAINING2,31,67,The woman put the pencil in the cup.,Rate,B,B,B
"TRAINING2[1_ALT]. the page. [The woman put the pencil in the cup.][Is there a way you could make this description better, maybe by changing a word?]",,TRAINING2,30,66,The woman put the pencil in the cup.,Restate,,,
TRAINING2[2_ABCD]. the page. [The pencil ended up on the table.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,TRAINING2,31,64,The pencil ended up on the table.,Rate,C,C,C
"TRAINING2[2_ALT]. the page. [The pencil ended up on the table.][Is there a way you could make this description better, maybe by changing a word?]",,TRAINING2,30,63,The pencil ended up on the table.,Restate,,,
TRAINING2[3_ABCD]. the page. [The woman snapped the pencil in half.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,TRAINING2,31,68,The woman snapped the pencil in half.,Rate,B,B,B
"TRAINING2[3_ALT]. the page. [The woman snapped the pencil in half.][Is there a way you could make this description better, maybe by changing a word?]",,TRAINING2,30,67,The woman snapped the pencil in half.,Restate,,,
TRAINING2[4_ABCD]. the page. [The woman put the pencil on the table.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,TRAINING2,31,69,The woman put the pencil on the table.,Rate,D,D,D
"TRAINING2[4_ALT]. the page. [The woman put the pencil on the table.][Is there a way you could make this description better, maybe by changing a word?]",,TRAINING2,30,68,The woman put the pencil on the table.,Restate,,,
TRAINING2[5_ABCD]. the page. [Pencil woman the the put table the on.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,TRAINING2,31,69,Pencil woman the the put table the on.,Rate,A,A,A
"TRAINING2[5_ALT]. the page. [Pencil woman the the put table the on.][Is there a way you could make this description better, maybe by changing a word?]",,TRAINING2,30,68,Pencil woman the the put table the on.,Restate,,,
TRAINING2[6_ABCD]. the page. [The pencil was put on the table.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,TRAINING2,31,63,The pencil was put on the table.,Rate,C,D,D
"TRAINING2[6_ALT]. the page. [The pencil was put on the table.][Is there a way you could make this description better, maybe by changing a word?]",,TRAINING2,30,62,The pencil was put on the table.,Restate,,,
HO6paper[S1_ABCD]. the page. [The paper tore because the woman pulled it in two directions.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HO6paper,31,92,The paper tore because the woman pulled it in two directions.,Rate,C,C,B
"HO6paper[S1_ALT]. the page. [The paper tore because the woman pulled it in two directions.][Is there a way you could make this description better, maybe by changing a word?]",,HO6paper,30,91,The paper tore because the woman pulled it in two directions.,Restate,,The woman pulled the paper in two direction to make it tear.,
HO6paper[S2_ABCD]. the page. [The paper tore because of the woman.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HO6paper,31,67,The paper tore because of the woman.,Rate,D,D,C
"HO6paper[S2_ALT]. the page. [The paper tore because of the woman.][Is there a way you could make this description better, maybe by changing a word?]",,HO6paper,30,66,The paper tore because of the woman.,Restate,,,
HO6paper[S3_ABCD]. the page. [The woman caused the paper to tear.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HO6paper,31,66,The woman caused the paper to tear.,Rate,C,C,D
"HO6paper[S3_ALT]. the page. [The woman caused the paper to tear.][Is there a way you could make this description better, maybe by changing a word?]",,HO6paper,30,65,The woman caused the paper to tear.,Restate,,,
HO6paper[S4_ABCD]. the page. [The woman made the paper tear.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HO6paper,31,61,The woman made the paper tear.,Rate,C,C,C
"HO6paper[S4_ALT]. the page. [The woman made the paper tear.][Is there a way you could make this description better, maybe by changing a word?]",,HO6paper,30,60,The woman made the paper tear.,Restate,,,
HO6paper[S5_ABCD]. the page. [The woman tore the piece of paper in half.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HO6paper,31,73,The woman tore the piece of paper in half.,Rate,D,D,D
"HO6paper[S5_ALT]. the page. [The woman tore the piece of paper in half.][Is there a way you could make this description better, maybe by changing a word?]",,HO6paper,30,72,The woman tore the piece of paper in half.,Restate,,,
HO6paper[S6_ABCD]. the page. [The woman pulled the paper so hard that it tore.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HO6paper,31,79,The woman pulled the paper so hard that it tore.,Rate,C,C,C
"HO6paper[S6_ALT]. the page. [The woman pulled the paper so hard that it tore.][Is there a way you could make this description better, maybe by changing a word?]",,HO6paper,30,78,The woman pulled the paper so hard that it tore.,Restate,,,
HO6paper[S7_ABCD]. the page. [The woman tore the paper.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HO6paper,31,56,The woman tore the paper.,Rate,D,D,D
"HO6paper[S7_ALT]. the page. [The woman tore the paper.][Is there a way you could make this description better, maybe by changing a word?]",,HO6paper,30,55,The woman tore the paper.,Restate,,,
HC1leave[S1_ABCD]. the page. [The man left the room because the woman told him to leave.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HC1leave,31,89,The man left the room because the woman told him to leave.,Rate,D,D,C
"HC1leave[S1_ALT]. the page. [The man left the room because the woman told him to leave.][Is there a way you could make this description better, maybe by changing a word?]",,HC1leave,30,88,The man left the room because the woman told him to leave.,Restate,,,
HC1leave[S2_ABCD]. the page. [The man left the room because of the woman.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HC1leave,31,74,The man left the room because of the woman.,Rate,C,D,C
"HC1leave[S2_ALT]. the page. [The man left the room because of the woman.][Is there a way you could make this description better, maybe by changing a word?]",,HC1leave,30,73,The man left the room because of the woman.,Restate,,,
HC1leave[S3_ABCD]. the page. [The woman caused the man to leave.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HC1leave,31,65,The woman caused the man to leave.,Rate,C,C,D
"HC1leave[S3_ALT]. the page. [The woman caused the man to leave.][Is there a way you could make this description better, maybe by changing a word?]",,HC1leave,30,64,The woman caused the man to leave.,Restate,,,
HC1leave[S4_ABCD]. the page. [The woman made the man leave.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HC1leave,31,60,The woman made the man leave.,Rate,D,D,D
"HC1leave[S4_ALT]. the page. [The woman made the man leave.][Is there a way you could make this description better, maybe by changing a word?]",,HC1leave,30,59,The woman made the man leave.,Restate,,,
HC1leave[S5_ABCD]. the page. [The woman kicked the man out of the room.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HC1leave,31,72,The woman kicked the man out of the room.,Rate,D,D,D
"HC1leave[S5_ALT]. the page. [The woman kicked the man out of the room.][Is there a way you could make this description better, maybe by changing a word?]",,HC1leave,30,71,The woman kicked the man out of the room.,Restate,,,
HOIproc1swing[S1_ABCD]. the page. [The swing swung because the man pushed it with the tennis racquet.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HOIproc1swing,36,102,The swing swung because the man pushed it with the tennis racquet.,Rate,D,,D
